route_key	verb	path	controller	action	environment	owner	disposition
GET|/api/v1/announcements/search|api/v1/announcements|search	GET	/api/v1/announcements/search	api/v1/announcements	search	production	first_party_production	migrate
GET|/api/v1/announcements/users_notified_count|api/v1/announcements|users_notified_count	GET	/api/v1/announcements/users_notified_count	api/v1/announcements	users_notified_count	production	first_party_production	migrate
GET|/api/v1/attachments|api/v1/attachments|index	GET	/api/v1/attachments	api/v1/attachments	index	production	first_party_production	migrate
GET|/api/v1/bookmarks|api/v1/bookmarks|index	GET	/api/v1/bookmarks	api/v1/bookmarks	index	production	first_party_production	migrate
GET|/api/v1/boot/site|api/v1/boot|site	GET	/api/v1/boot/site	api/v1/boot	site	production	first_party_production	migrate
GET|/api/v1/boot/user|api/v1/boot|user	GET	/api/v1/boot/user	api/v1/boot	user	production	first_party_production	migrate
GET|/api/v1/boot/version|api/v1/boot|version	GET	/api/v1/boot/version	api/v1/boot	version	production	first_party_production	migrate
GET|/api/v1/chatbots|api/v1/chatbots|index	GET	/api/v1/chatbots	api/v1/chatbots	index	production	first_party_production	migrate
GET|/api/v1/discussion_templates/:id|api/v1/discussion_templates|show	GET	/api/v1/discussion_templates/:id	api/v1/discussion_templates	show	production	first_party_production	migrate
GET|/api/v1/discussion_templates/browse_tags|api/v1/discussion_templates|browse_tags	GET	/api/v1/discussion_templates/browse_tags	api/v1/discussion_templates	browse_tags	production	first_party_production	migrate
GET|/api/v1/discussion_templates/browse|api/v1/discussion_templates|browse	GET	/api/v1/discussion_templates/browse	api/v1/discussion_templates	browse	production	first_party_production	migrate
GET|/api/v1/discussion_templates|api/v1/discussion_templates|index	GET	/api/v1/discussion_templates	api/v1/discussion_templates	index	production	first_party_production	migrate
GET|/api/v1/discussions/:id|api/v1/discussions|show	GET	/api/v1/discussions/:id	api/v1/discussions	show	production	first_party_production	migrate
GET|/api/v1/events/:id/descendant_authors|api/v1/events|descendant_authors	GET	/api/v1/events/:id/descendant_authors	api/v1/events	descendant_authors	production	first_party_production	migrate
GET|/api/v1/events/comment|api/v1/events|comment	GET	/api/v1/events/comment	api/v1/events	comment	production	first_party_production	migrate
GET|/api/v1/events/count|api/v1/events|count	GET	/api/v1/events/count	api/v1/events	count	production	first_party_production	migrate
GET|/api/v1/events/position_keys|api/v1/events|position_keys	GET	/api/v1/events/position_keys	api/v1/events	position_keys	production	first_party_production	migrate
GET|/api/v1/events/timeline|api/v1/events|timeline	GET	/api/v1/events/timeline	api/v1/events	timeline	production	first_party_production	migrate
GET|/api/v1/events|api/v1/events|index	GET	/api/v1/events	api/v1/events	index	production	first_party_production	migrate
GET|/api/v1/groups/:id/subgroups|api/v1/groups|subgroups	GET	/api/v1/groups/:id/subgroups	api/v1/groups	subgroups	production	first_party_production	migrate
GET|/api/v1/groups/:id/token|api/v1/groups|token	GET	/api/v1/groups/:id/token	api/v1/groups	token	production	first_party_production	migrate
GET|/api/v1/groups/:id|api/v1/groups|show	GET	/api/v1/groups/:id	api/v1/groups	show	production	first_party_production	migrate
GET|/api/v1/groups/count_explore_results|api/v1/groups|count_explore_results	GET	/api/v1/groups/count_explore_results	api/v1/groups	count_explore_results	production	first_party_production	migrate
GET|/api/v1/groups/suggest_handle|api/v1/groups|suggest_handle	GET	/api/v1/groups/suggest_handle	api/v1/groups	suggest_handle	production	first_party_production	migrate
GET|/api/v1/groups|api/v1/groups|index	GET	/api/v1/groups	api/v1/groups	index	production	first_party_production	migrate
GET|/api/v1/membership_requests/my_pending|api/v1/membership_requests|my_pending	GET	/api/v1/membership_requests/my_pending	api/v1/membership_requests	my_pending	production	first_party_production	migrate
GET|/api/v1/membership_requests/pending|api/v1/membership_requests|pending	GET	/api/v1/membership_requests/pending	api/v1/membership_requests	pending	production	first_party_production	migrate
GET|/api/v1/membership_requests/previous|api/v1/membership_requests|previous	GET	/api/v1/membership_requests/previous	api/v1/membership_requests	previous	production	first_party_production	migrate
